T,snr,error,param,true_type,accuracy,n_detected,detection_rate,uncond_success,omega_mu,n_reps
500,0.1,iid,0.0,shape-driven,0.8614576493762311,1523,0.7615,0.656,0.7687801305082241,2000
500,0.1,iid,0.0,price-driven,0.9010989010989012,364,0.182,0.164,0.27780759904464,2000
500,0.1,iid,0.0,joint,0.5979614949037373,1766,0.883,0.528,0.5382332571651391,2000
500,0.1,ar,0.3,shape-driven,0.7763845350052246,957,0.4785,0.3715,0.732489352449225,2000
500,0.1,ar,0.3,price-driven,0.7222222222222222,270,0.135,0.0975,0.3443510211441476,2000
500,0.1,ar,0.3,joint,0.5016155088852988,1238,0.619,0.3105,0.5523806370989253,2000
500,0.2,iid,0.0,shape-driven,0.9975,2000,1.0,0.9975,0.8533961316574221,2000
500,0.2,iid,0.0,price-driven,0.9993438320209974,1524,0.762,0.7615,0.1785577909978502,2000
500,0.2,iid,0.0,joint,0.8765,2000,1.0,0.8765,0.5093103306242606,2000
500,0.2,ar,0.3,shape-driven,0.9578313253012049,1992,0.996,0.954,0.8131017351336798,2000
500,0.2,ar,0.3,price-driven,0.9756838905775076,987,0.4935,0.4815,0.2221899932900237,2000
500,0.2,ar,0.3,joint,0.7407407407407407,1998,0.999,0.74,0.5189206973572137,2000
500,0.5,iid,0.0,shape-driven,1.0,2000,1.0,1.0,0.9344212524333813,2000
500,0.5,iid,0.0,price-driven,1.0,2000,1.0,1.0,0.0797103635118686,2000
500,0.5,iid,0.0,joint,1.0,2000,1.0,1.0,0.501377438059456,2000
500,0.5,ar,0.3,shape-driven,1.0,2000,1.0,1.0,0.9138397029950632,2000
500,0.5,ar,0.3,price-driven,1.0,2000,1.0,1.0,0.1064542805254038,2000
500,0.5,ar,0.3,joint,0.9925,2000,1.0,0.9925,0.5025406178726107,2000
1000,0.1,iid,0.0,shape-driven,0.9502262443438914,1989,0.9945,0.945,0.8121116548015143,2000
1000,0.1,iid,0.0,price-driven,0.9623430962343096,956,0.478,0.46,0.2287082558464591,2000
1000,0.1,iid,0.0,joint,0.7465,2000,1.0,0.7465,0.517873429344349,2000
1000,0.1,ar,0.3,shape-driven,0.8796657381615599,1795,0.8975,0.7895,0.7681468672583976,2000
1000,0.1,ar,0.3,price-driven,0.8959435626102292,567,0.2835,0.254,0.2768260767907816,2000
1000,0.1,ar,0.3,joint,0.5977071391349661,1919,0.9595,0.5735,0.532052121835322,2000
1000,0.2,iid,0.0,shape-driven,1.0,2000,1.0,1.0,0.8936958474608718,2000
1000,0.2,iid,0.0,price-driven,1.0,1988,0.994,0.994,0.134889126589604,2000
1000,0.2,iid,0.0,joint,0.9745,2000,1.0,0.9745,0.5039362505636095,2000
1000,0.2,ar,0.3,shape-driven,0.9995,2000,1.0,0.9995,0.8631284602595864,2000
1000,0.2,ar,0.3,price-driven,0.9983286908077994,1795,0.8975,0.896,0.1761875872360365,2000
1000,0.2,ar,0.3,joint,0.9035,2000,1.0,0.9035,0.508003528683187,2000
1000,0.5,iid,0.0,shape-driven,1.0,2000,1.0,1.0,0.9520823982393258,2000
1000,0.5,iid,0.0,price-driven,1.0,2000,1.0,1.0,0.0576643586021842,2000
1000,0.5,iid,0.0,joint,1.0,2000,1.0,1.0,0.501007073858729,2000
1000,0.5,ar,0.3,shape-driven,1.0,2000,1.0,1.0,0.9364208523989834,2000
1000,0.5,ar,0.3,price-driven,1.0,2000,1.0,1.0,0.0772979371385084,2000
1000,0.5,ar,0.3,joint,1.0,2000,1.0,1.0,0.5017318716534208,2000
2000,0.1,iid,0.0,shape-driven,0.992,2000,1.0,0.992,0.8521318063672111,2000
2000,0.1,iid,0.0,price-driven,0.9959816303099884,1742,0.871,0.8675,0.1828382016237182,2000
2000,0.1,iid,0.0,joint,0.8745,2000,1.0,0.8745,0.5110868294931318,2000
2000,0.1,ar,0.3,shape-driven,0.9544316474712068,1997,0.9985,0.953,0.8119035178925283,2000
2000,0.1,ar,0.3,price-driven,0.9718775847808104,1209,0.6045,0.5875,0.2284594037992752,2000
2000,0.1,ar,0.3,joint,0.7425,2000,1.0,0.7425,0.5204611584133114,2000
2000,0.2,iid,0.0,shape-driven,1.0,2000,1.0,1.0,0.9213467344698482,2000
2000,0.2,iid,0.0,price-driven,1.0,2000,1.0,1.0,0.0981718443292248,2000
2000,0.2,iid,0.0,joint,0.9965,2000,1.0,0.9965,0.5026106452548104,2000
2000,0.2,ar,0.3,shape-driven,1.0,2000,1.0,1.0,0.8967857443076609,2000
2000,0.2,ar,0.3,price-driven,1.0,1997,0.9985,0.9985,0.1314115341359055,2000
2000,0.2,ar,0.3,joint,0.976,2000,1.0,0.976,0.5046277225053829,2000
2000,0.5,iid,0.0,shape-driven,1.0,2000,1.0,1.0,0.9656089661117504,2000
2000,0.5,iid,0.0,price-driven,1.0,2000,1.0,1.0,0.0414188524311334,2000
2000,0.5,iid,0.0,joint,1.0,2000,1.0,1.0,0.5002727717754268,2000
2000,0.5,ar,0.3,shape-driven,1.0,2000,1.0,1.0,0.9539845654335816,2000
2000,0.5,ar,0.3,price-driven,1.0,2000,1.0,1.0,0.0556182611354654,2000
2000,0.5,ar,0.3,joint,1.0,2000,1.0,1.0,0.5005510909346294,2000

