T,rho,DGP,metric,value,n_reps,break_type,snr,omega
500,0.0,iid_factor,size,0.018,2000,,,
500,0.0,ar_factor,size,0.035,2000,,,
500,0.0,factor,power,0.199,2000,shape-driven,0.05,0.6508429081014339
500,0.0,factor,power,0.6175,2000,price-driven,0.25,0.1976253949899776
500,0.0,factor,power,0.2275,2000,joint,0.05,0.5957400900809567
1000,0.0,iid_factor,size,0.036,2000,,,
1000,0.0,ar_factor,size,0.052,2000,,,
1000,0.0,factor,power,0.552,2000,shape-driven,0.05,0.6929971797265098
1000,0.0,factor,power,0.9775,2000,price-driven,0.25,0.1514458115059993
1000,0.0,factor,power,0.6205,2000,joint,0.05,0.5840650787118656
2000,0.0,iid_factor,size,0.04,2000,,,
2000,0.0,ar_factor,size,0.058,2000,,,
2000,0.0,factor,power,0.92,2000,shape-driven,0.05,0.7221112060213142
2000,0.0,factor,power,1.0,2000,price-driven,0.25,0.1082798427942779
2000,0.0,factor,power,0.9435,2000,joint,0.05,0.5673741521655409
500,0.5,iid_factor,size,0.0195,2000,,,
500,0.5,ar_factor,size,0.0325,2000,,,
500,0.5,factor,power,0.0905,2000,shape-driven,0.05,0.6384383630297732
500,0.5,factor,power,0.679,2000,price-driven,0.25,0.1956700276787108
500,0.5,factor,power,0.117,2000,joint,0.05,0.5650032644467229
1000,0.5,iid_factor,size,0.031,2000,,,
1000,0.5,ar_factor,size,0.0435,2000,,,
1000,0.5,factor,power,0.2465,2000,shape-driven,0.05,0.6950925413889453
1000,0.5,factor,power,0.9845,2000,price-driven,0.25,0.1492046883605557
1000,0.5,factor,power,0.3205,2000,joint,0.05,0.5646421428383691
2000,0.5,iid_factor,size,0.028,2000,,,
2000,0.5,ar_factor,size,0.0425,2000,,,
2000,0.5,factor,power,0.543,2000,shape-driven,0.05,0.7193502422030154
2000,0.5,factor,power,1.0,2000,price-driven,0.25,0.10649075441783
2000,0.5,factor,power,0.6565,2000,joint,0.05,0.5552794755681477
500,0.7,iid_factor,size,0.019,2000,,,
500,0.7,ar_factor,size,0.031,2000,,,
500,0.7,factor,power,0.077,2000,shape-driven,0.05,0.6319837659576826
500,0.7,factor,power,0.736,2000,price-driven,0.25,0.192102694153099
500,0.7,factor,power,0.099,2000,joint,0.05,0.5499552564939456
1000,0.7,iid_factor,size,0.0235,2000,,,
1000,0.7,ar_factor,size,0.041,2000,,,
1000,0.7,factor,power,0.174,2000,shape-driven,0.05,0.7031890806797366
1000,0.7,factor,power,0.9895,2000,price-driven,0.25,0.145911786976779
1000,0.7,factor,power,0.2525,2000,joint,0.05,0.5606258682656875
2000,0.7,iid_factor,size,0.028,2000,,,
2000,0.7,ar_factor,size,0.0455,2000,,,
2000,0.7,factor,power,0.366,2000,shape-driven,0.05,0.7184326866476839
2000,0.7,factor,power,1.0,2000,price-driven,0.25,0.104227185114181
2000,0.7,factor,power,0.518,2000,joint,0.05,0.5407388846680106
500,0.9,iid_factor,size,0.0245,2000,,,
500,0.9,ar_factor,size,0.038,2000,,,
500,0.9,factor,power,0.0855,2000,shape-driven,0.05,0.6188866765592183
500,0.9,factor,power,0.8675,2000,price-driven,0.25,0.18084203475118
500,0.9,factor,power,0.1125,2000,joint,0.05,0.5222392078732732
1000,0.9,iid_factor,size,0.0325,2000,,,
1000,0.9,ar_factor,size,0.046,2000,,,
1000,0.9,factor,power,0.1285,2000,shape-driven,0.05,0.6797446246245455
1000,0.9,factor,power,0.9975,2000,price-driven,0.25,0.1368708138580204
1000,0.9,factor,power,0.223,2000,joint,0.05,0.5265640779759102
2000,0.9,iid_factor,size,0.0415,2000,,,
2000,0.9,ar_factor,size,0.0495,2000,,,
2000,0.9,factor,power,0.2585,2000,shape-driven,0.05,0.7017454459232277
2000,0.9,factor,power,1.0,2000,price-driven,0.25,0.0979553773155061
2000,0.9,factor,power,0.4525,2000,joint,0.05,0.5147849180934007

