T,error,break_type,snr,block,jointpca,full,separate,n_reps
500,iid,none,0.0,0.015,0.0165,0.0055,0.0255,2000
500,iid,shape-driven,0.1,0.789,0.8205,0.464,0.736,2000
500,iid,price-driven,0.5,1.0,1.0,1.0,1.0,2000
500,iid,joint,0.1,0.8945,0.91,0.633,0.8245,2000
500,ar,none,0.0,0.0295,0.0295,0.0165,0.0395,2000
500,ar,shape-driven,0.1,0.516,0.555,0.2475,0.4325,2000
500,ar,price-driven,0.5,1.0,1.0,0.999,1.0,2000
500,ar,joint,0.1,0.6225,0.6585,0.3455,0.5365,2000
500,ma,none,0.0,0.024,0.024,0.012,0.0345,2000
500,ma,shape-driven,0.1,0.499,0.541,0.235,0.42,2000
500,ma,price-driven,0.5,1.0,1.0,0.999,1.0,2000
500,ma,joint,0.1,0.613,0.649,0.326,0.5255,2000
500,garch,none,0.0,0.0135,0.0155,0.0015,0.0205,2000
500,garch,shape-driven,0.1,0.8,0.823,0.5535,0.7405,2000
500,garch,price-driven,0.5,1.0,0.9995,0.9995,1.0,2000
500,garch,joint,0.1,0.889,0.8975,0.71,0.8275,2000
1000,iid,none,0.0,0.0265,0.029,0.019,0.026,2000
1000,iid,shape-driven,0.1,0.9945,0.995,0.973,0.9895,2000
1000,iid,price-driven,0.5,1.0,1.0,1.0,1.0,2000
1000,iid,joint,0.1,1.0,0.9995,0.994,0.998,2000
1000,ar,none,0.0,0.044,0.0465,0.032,0.037,2000
1000,ar,shape-driven,0.1,0.9065,0.915,0.7685,0.87,2000
1000,ar,price-driven,0.5,1.0,1.0,1.0,1.0,2000
1000,ar,joint,0.1,0.9615,0.9665,0.878,0.9195,2000
1000,ma,none,0.0,0.0355,0.04,0.0255,0.0315,2000
1000,ma,shape-driven,0.1,0.909,0.916,0.763,0.8705,2000
1000,ma,price-driven,0.5,1.0,1.0,1.0,1.0,2000
1000,ma,joint,0.1,0.963,0.9675,0.8765,0.9205,2000
1000,garch,none,0.0,0.027,0.026,0.009,0.034,2000
1000,garch,shape-driven,0.1,0.988,0.99,0.962,0.9815,2000
1000,garch,price-driven,0.5,1.0,1.0,1.0,1.0,2000
1000,garch,joint,0.1,0.997,0.998,0.987,0.99,2000
2000,iid,none,0.0,0.0385,0.0415,0.027,0.0395,2000
2000,iid,shape-driven,0.1,1.0,1.0,1.0,1.0,2000
2000,iid,price-driven,0.5,1.0,1.0,1.0,1.0,2000
2000,iid,joint,0.1,1.0,1.0,1.0,1.0,2000
2000,ar,none,0.0,0.052,0.059,0.0415,0.052,2000
2000,ar,shape-driven,0.1,0.999,0.9995,0.995,0.999,2000
2000,ar,price-driven,0.5,1.0,1.0,1.0,1.0,2000
2000,ar,joint,0.1,1.0,1.0,0.999,1.0,2000
2000,ma,none,0.0,0.0465,0.0515,0.0365,0.047,2000
2000,ma,shape-driven,0.1,0.999,1.0,0.995,0.999,2000
2000,ma,price-driven,0.5,1.0,1.0,1.0,1.0,2000
2000,ma,joint,0.1,1.0,1.0,0.999,1.0,2000
2000,garch,none,0.0,0.03,0.03,0.0215,0.035,2000
2000,garch,shape-driven,0.1,1.0,1.0,1.0,1.0,2000
2000,garch,price-driven,0.5,1.0,1.0,1.0,1.0,2000
2000,garch,joint,0.1,1.0,1.0,1.0,1.0,2000

