T,break_type,snr,p_exact_2,p_at_least_1,p_over,mean_tau1_err,mean_tau2_err,n_reps
500,shape-driven,0.05,0.002,0.153,0.0,0.1036069364161849,0.1187299270072992,2000
500,shape-driven,0.1,0.022,0.6615,0.0,0.0863565107458912,0.1023333333333333,2000
500,price-driven,0.25,0.046,0.892,0.0005,0.0845243578387953,0.1011295060080107,2000
500,price-driven,0.5,0.6675,1.0,0.0535,0.0599746578813988,0.0562703045685279,2000
500,joint,0.05,0.003,0.19,0.0,0.1025242718446601,0.1127,2000
500,joint,0.1,0.033,0.79,0.0,0.0832406091370558,0.1030680786686838,2000
1000,shape-driven,0.05,0.0245,0.399,0.0005,0.0962307692307692,0.1051443569553805,2000
1000,shape-driven,0.1,0.1625,0.9885,0.0095,0.0759263759828449,0.0907165605095541,2000
1000,price-driven,0.25,0.347,1.0,0.0325,0.0658828451882845,0.0745021682567216,2000
1000,price-driven,0.5,0.592,1.0,0.4065,0.0482863886703383,0.0368042442615851,2000
1000,joint,0.05,0.0295,0.505,0.001,0.0954662273476112,0.102362660944206,2000
1000,joint,0.1,0.232,0.998,0.014,0.0708438337801608,0.0862634146341463,2000
2000,shape-driven,0.05,0.075,0.818,0.006,0.0850792322834645,0.0936693954659949,2000
2000,shape-driven,0.1,0.5565,1.0,0.097,0.0616509803921568,0.0628143146522619,2000
2000,price-driven,0.25,0.677,1.0,0.244,0.0544045087196937,0.0524742574257425,2000
2000,price-driven,0.5,0.486,1.0,0.514,0.0443437610463061,0.0268415989739204,2000
2000,joint,0.05,0.095,0.8955,0.01,0.0831645462256149,0.0957864768683274,2000
2000,joint,0.1,0.646,1.0,0.1785,0.0591618432769367,0.0557002770083102,2000

