T,snr,metric,true_type,mean_omega,accuracy,classified_as,count,n_reps
2000,0.1,omega,shape-driven,0.8521318063672111,0.992,,,2000
2000,0.1,omega,price-driven,0.1828382016237182,0.9959816303099884,,,2000
2000,0.1,omega,joint,0.5110868294931318,0.8745,,,2000
2000,0.1,confusion,shape-driven,,,shape-driven,1984.0,2000
2000,0.1,confusion,shape-driven,,,price-driven,0.0,2000
2000,0.1,confusion,shape-driven,,,joint,16.0,2000
2000,0.1,confusion,price-driven,,,shape-driven,0.0,2000
2000,0.1,confusion,price-driven,,,price-driven,1735.0,2000
2000,0.1,confusion,price-driven,,,joint,7.0,2000
2000,0.1,confusion,joint,,,shape-driven,195.0,2000
2000,0.1,confusion,joint,,,price-driven,56.0,2000
2000,0.1,confusion,joint,,,joint,1749.0,2000
2000,0.2,omega,shape-driven,0.9213467344698482,1.0,,,2000
2000,0.2,omega,price-driven,0.0981718443292248,1.0,,,2000
2000,0.2,omega,joint,0.5026106452548104,0.9965,,,2000
2000,0.2,confusion,shape-driven,,,shape-driven,2000.0,2000
2000,0.2,confusion,shape-driven,,,price-driven,0.0,2000
2000,0.2,confusion,shape-driven,,,joint,0.0,2000
2000,0.2,confusion,price-driven,,,shape-driven,0.0,2000
2000,0.2,confusion,price-driven,,,price-driven,2000.0,2000
2000,0.2,confusion,price-driven,,,joint,0.0,2000
2000,0.2,confusion,joint,,,shape-driven,6.0,2000
2000,0.2,confusion,joint,,,price-driven,1.0,2000
2000,0.2,confusion,joint,,,joint,1993.0,2000
2000,0.5,omega,shape-driven,0.9656089661117504,1.0,,,2000
2000,0.5,omega,price-driven,0.0414188524311334,1.0,,,2000
2000,0.5,omega,joint,0.5002727717754268,1.0,,,2000
2000,0.5,confusion,shape-driven,,,shape-driven,2000.0,2000
2000,0.5,confusion,shape-driven,,,price-driven,0.0,2000
2000,0.5,confusion,shape-driven,,,joint,0.0,2000
2000,0.5,confusion,price-driven,,,shape-driven,0.0,2000
2000,0.5,confusion,price-driven,,,price-driven,2000.0,2000
2000,0.5,confusion,price-driven,,,joint,0.0,2000
2000,0.5,confusion,joint,,,shape-driven,0.0,2000
2000,0.5,confusion,joint,,,price-driven,0.0,2000
2000,0.5,confusion,joint,,,joint,2000.0,2000

