T,break_type,snr,lambda,error,param,power,n_rej,n_reps
100,shape-driven,0.05,0.25,iid,0.0,0.0,0,2000
100,shape-driven,0.05,0.25,ar,0.3,0.0,0,2000
100,shape-driven,0.05,0.5,iid,0.0,0.0,0,2000
100,shape-driven,0.05,0.5,ar,0.3,0.0,0,2000
100,shape-driven,0.05,0.75,iid,0.0,0.0,0,2000
100,shape-driven,0.05,0.75,ar,0.3,0.0005,1,2000
100,shape-driven,0.1,0.25,iid,0.0,0.0,0,2000
100,shape-driven,0.1,0.25,ar,0.3,0.0,0,2000
100,shape-driven,0.1,0.5,iid,0.0,0.0005,1,2000
100,shape-driven,0.1,0.5,ar,0.3,0.0005,1,2000
100,shape-driven,0.1,0.75,iid,0.0,0.0,0,2000
100,shape-driven,0.1,0.75,ar,0.3,0.0005,1,2000
100,shape-driven,0.2,0.25,iid,0.0,0.0005,1,2000
100,shape-driven,0.2,0.25,ar,0.3,0.0005,1,2000
100,shape-driven,0.2,0.5,iid,0.0,0.0215,43,2000
100,shape-driven,0.2,0.5,ar,0.3,0.0065,13,2000
100,shape-driven,0.2,0.75,iid,0.0,0.0005,1,2000
100,shape-driven,0.2,0.75,ar,0.3,0.0005,1,2000
100,price-driven,0.25,0.25,iid,0.0,0.0,0,2000
100,price-driven,0.25,0.25,ar,0.3,0.0005,1,2000
100,price-driven,0.25,0.5,iid,0.0,0.0035,7,2000
100,price-driven,0.25,0.5,ar,0.3,0.0015,3,2000
100,price-driven,0.25,0.75,iid,0.0,0.0,0,2000
100,price-driven,0.25,0.75,ar,0.3,0.0,0,2000
100,price-driven,0.5,0.25,iid,0.0,0.0005,1,2000
100,price-driven,0.5,0.25,ar,0.3,0.001,2,2000
100,price-driven,0.5,0.5,iid,0.0,0.064,128,2000
100,price-driven,0.5,0.5,ar,0.3,0.0245,49,2000
100,price-driven,0.5,0.75,iid,0.0,0.0,0,2000
100,price-driven,0.5,0.75,ar,0.3,0.0005,1,2000
100,price-driven,1.0,0.25,iid,0.0,0.0015,3,2000
100,price-driven,1.0,0.25,ar,0.3,0.0035,7,2000
100,price-driven,1.0,0.5,iid,0.0,0.9025,1805,2000
100,price-driven,1.0,0.5,ar,0.3,0.5755,1151,2000
100,price-driven,1.0,0.75,iid,0.0,0.001,2,2000
100,price-driven,1.0,0.75,ar,0.3,0.0035,7,2000
100,joint,0.05,0.25,iid,0.0,0.0,0,2000
100,joint,0.05,0.25,ar,0.3,0.0,0,2000
100,joint,0.05,0.5,iid,0.0,0.0,0,2000
100,joint,0.05,0.5,ar,0.3,0.0,0,2000
100,joint,0.05,0.75,iid,0.0,0.0,0,2000
100,joint,0.05,0.75,ar,0.3,0.0,0,2000
100,joint,0.1,0.25,iid,0.0,0.0,0,2000
100,joint,0.1,0.25,ar,0.3,0.0005,1,2000
100,joint,0.1,0.5,iid,0.0,0.0005,1,2000
100,joint,0.1,0.5,ar,0.3,0.0005,1,2000
100,joint,0.1,0.75,iid,0.0,0.0005,1,2000
100,joint,0.1,0.75,ar,0.3,0.0,0,2000
100,joint,0.2,0.25,iid,0.0,0.001,2,2000
100,joint,0.2,0.25,ar,0.3,0.0,0,2000
100,joint,0.2,0.5,iid,0.0,0.034,68,2000
100,joint,0.2,0.5,ar,0.3,0.0125,25,2000
100,joint,0.2,0.75,iid,0.0,0.0,0,2000
100,joint,0.2,0.75,ar,0.3,0.001,2,2000
250,shape-driven,0.05,0.25,iid,0.0,0.014,28,2000
250,shape-driven,0.05,0.25,ar,0.3,0.02,40,2000
250,shape-driven,0.05,0.5,iid,0.0,0.0265,53,2000
250,shape-driven,0.05,0.5,ar,0.3,0.0345,69,2000
250,shape-driven,0.05,0.75,iid,0.0,0.015,30,2000
250,shape-driven,0.05,0.75,ar,0.3,0.022,44,2000
250,shape-driven,0.1,0.25,iid,0.0,0.0375,75,2000
250,shape-driven,0.1,0.25,ar,0.3,0.037,74,2000
250,shape-driven,0.1,0.5,iid,0.0,0.2025,405,2000
250,shape-driven,0.1,0.5,ar,0.3,0.1185,237,2000
250,shape-driven,0.1,0.75,iid,0.0,0.034,68,2000
250,shape-driven,0.1,0.75,ar,0.3,0.038,76,2000
250,shape-driven,0.2,0.25,iid,0.0,0.3685,737,2000
250,shape-driven,0.2,0.25,ar,0.3,0.214,428,2000
250,shape-driven,0.2,0.5,iid,0.0,0.948,1896,2000
250,shape-driven,0.2,0.5,ar,0.3,0.695,1390,2000
250,shape-driven,0.2,0.75,iid,0.0,0.379,758,2000
250,shape-driven,0.2,0.75,ar,0.3,0.213,426,2000
250,price-driven,0.25,0.25,iid,0.0,0.0715,143,2000
250,price-driven,0.25,0.25,ar,0.3,0.0515,103,2000
250,price-driven,0.25,0.5,iid,0.0,0.4255,851,2000
250,price-driven,0.25,0.5,ar,0.3,0.234,468,2000
250,price-driven,0.25,0.75,iid,0.0,0.0655,131,2000
250,price-driven,0.25,0.75,ar,0.3,0.0535,107,2000
250,price-driven,0.5,0.25,iid,0.0,0.7175,1435,2000
250,price-driven,0.5,0.25,ar,0.3,0.3965,793,2000
250,price-driven,0.5,0.5,iid,0.0,0.9995,1999,2000
250,price-driven,0.5,0.5,ar,0.3,0.9215,1843,2000
250,price-driven,0.5,0.75,iid,0.0,0.7395,1479,2000
250,price-driven,0.5,0.75,ar,0.3,0.401,802,2000
250,price-driven,1.0,0.25,iid,0.0,1.0,2000,2000
250,price-driven,1.0,0.25,ar,0.3,0.997,1994,2000
250,price-driven,1.0,0.5,iid,0.0,1.0,2000,2000
250,price-driven,1.0,0.5,ar,0.3,1.0,2000,2000
250,price-driven,1.0,0.75,iid,0.0,1.0,2000,2000
250,price-driven,1.0,0.75,ar,0.3,0.9995,1999,2000
250,joint,0.05,0.25,iid,0.0,0.0165,33,2000
250,joint,0.05,0.25,ar,0.3,0.0215,43,2000
250,joint,0.05,0.5,iid,0.0,0.032,64,2000
250,joint,0.05,0.5,ar,0.3,0.043,86,2000
250,joint,0.05,0.75,iid,0.0,0.0115,23,2000
250,joint,0.05,0.75,ar,0.3,0.0225,45,2000
250,joint,0.1,0.25,iid,0.0,0.0485,97,2000
250,joint,0.1,0.25,ar,0.3,0.047,94,2000
250,joint,0.1,0.5,iid,0.0,0.292,584,2000
250,joint,0.1,0.5,ar,0.3,0.1635,327,2000
250,joint,0.1,0.75,iid,0.0,0.048,96,2000
250,joint,0.1,0.75,ar,0.3,0.053,106,2000
250,joint,0.2,0.25,iid,0.0,0.521,1042,2000
250,joint,0.2,0.25,ar,0.3,0.263,526,2000
250,joint,0.2,0.5,iid,0.0,0.991,1982,2000
250,joint,0.2,0.5,ar,0.3,0.8365,1673,2000
250,joint,0.2,0.75,iid,0.0,0.55,1100,2000
250,joint,0.2,0.75,ar,0.3,0.2635,527,2000
500,shape-driven,0.05,0.25,iid,0.0,0.0565,113,2000
500,shape-driven,0.05,0.25,ar,0.3,0.0645,129,2000
500,shape-driven,0.05,0.5,iid,0.0,0.136,272,2000
500,shape-driven,0.05,0.5,ar,0.3,0.1075,215,2000
500,shape-driven,0.05,0.75,iid,0.0,0.0545,109,2000
500,shape-driven,0.05,0.75,ar,0.3,0.062,124,2000
500,shape-driven,0.1,0.25,iid,0.0,0.319,638,2000
500,shape-driven,0.1,0.25,ar,0.3,0.2115,423,2000
500,shape-driven,0.1,0.5,iid,0.0,0.7785,1557,2000
500,shape-driven,0.1,0.5,ar,0.3,0.497,994,2000
500,shape-driven,0.1,0.75,iid,0.0,0.29,580,2000
500,shape-driven,0.1,0.75,ar,0.3,0.197,394,2000
500,shape-driven,0.2,0.25,iid,0.0,0.998,1996,2000
500,shape-driven,0.2,0.25,ar,0.3,0.862,1724,2000
500,shape-driven,0.2,0.5,iid,0.0,1.0,2000,2000
500,shape-driven,0.2,0.5,ar,0.3,0.996,1992,2000
500,shape-driven,0.2,0.75,iid,0.0,0.994,1988,2000
500,shape-driven,0.2,0.75,ar,0.3,0.8675,1735,2000
500,price-driven,0.25,0.25,iid,0.0,0.5975,1195,2000
500,price-driven,0.25,0.25,ar,0.3,0.337,674,2000
500,price-driven,0.25,0.5,iid,0.0,0.962,1924,2000
500,price-driven,0.25,0.5,ar,0.3,0.7455,1491,2000
500,price-driven,0.25,0.75,iid,0.0,0.6025,1205,2000
500,price-driven,0.25,0.75,ar,0.3,0.328,656,2000
