metric,error,T,q,value,n_reps
size,ma,500,5,0.028,2000
power,ma,500,5,0.4785,2000
size,ma,1000,5,0.036,2000
power,ma,1000,5,0.9015,2000
size,ma,2000,5,0.0395,2000
power,ma,2000,5,0.9985,2000
size,garch,500,5,0.0115,2000
power,garch,500,5,0.8175,2000
size,garch,1000,5,0.028,2000
power,garch,1000,5,0.989,2000
size,garch,2000,5,0.0345,2000
power,garch,2000,5,1.0,2000
q_power,iid,1000,2,0.9975,2000
q_power,ar,1000,2,0.923,2000
q_power,iid,1000,3,0.997,2000
q_power,ar,1000,3,0.9295,2000
q_power,iid,1000,4,0.995,2000
q_power,ar,1000,4,0.9015,2000
q_power,iid,1000,5,0.997,2000
q_power,ar,1000,5,0.896,2000
q_power,iid,1000,6,0.9885,2000
q_power,ar,1000,6,0.8685,2000

