study,phi,multiplier,bandwidth,value,n_reps,psi,q
bandwidth,0.0,0.5,6.0,0.038,2000,,
bandwidth,0.0,1.0,12.0,0.0355,2000,,
bandwidth,0.0,2.0,24.0,0.0245,2000,,
bandwidth,0.3,0.5,6.0,0.0695,2000,,
bandwidth,0.3,1.0,12.0,0.046,2000,,
bandwidth,0.3,2.0,24.0,0.0285,2000,,
bandwidth,0.5,0.5,6.0,0.1295,2000,,
bandwidth,0.5,1.0,12.0,0.0635,2000,,
bandwidth,0.5,2.0,24.0,0.0335,2000,,
ma,,,,0.0065,2000,-0.5,
ma,,,,0.0365,2000,0.0,
ma,,,,0.041,2000,0.5,
q_power,,,,1.0,2000,,2.0
q_power,,,,1.0,2000,,3.0
q_power,,,,1.0,2000,,4.0
q_power,,,,1.0,2000,,5.0
q_power,,,,1.0,2000,,6.0

