T,alpha,error,param,size,se,n_reps,n_rej,first_500_size,config_index
100,0.01,iid,0.0,0.0,0.0,2000,0,0.0,0
100,0.01,ar,0.0,0.0,0.0,2000,0,0.0,1
100,0.01,ar,0.3,0.0,0.0,2000,0,0.0,2
100,0.01,ar,0.5,0.0,0.0,2000,0,0.0,3
100,0.01,ma,0.5,0.0,0.0,2000,0,0.0,4
100,0.01,garch,0.0,0.0,0.0,2000,0,0.0,5
100,0.05,iid,0.0,0.0,0.0,2000,0,0.0,6
100,0.05,ar,0.0,0.0,0.0,2000,0,0.0,7
100,0.05,ar,0.3,0.0,0.0,2000,0,0.0,8
100,0.05,ar,0.5,0.0005,0.000499874984371,2000,1,0.0,9
100,0.05,ma,0.5,0.0005,0.000499874984371,2000,1,0.0,10
100,0.05,garch,0.0,0.0,0.0,2000,0,0.0,11
100,0.1,iid,0.0,0.0035,0.001320558593929,2000,7,0.002,12
100,0.1,ar,0.0,0.0015,0.0008653756409791,2000,3,0.002,13
100,0.1,ar,0.3,0.0095,0.0021690723823791,2000,19,0.004,14
100,0.1,ar,0.5,0.02,0.0031304951684997,2000,40,0.02,15
100,0.1,ma,0.5,0.0045,0.0014966211945579,2000,9,0.008,16
100,0.1,garch,0.0,0.001,0.0007067531393633,2000,2,0.002,17
250,0.01,iid,0.0,0.0,0.0,2000,0,0.0,18
250,0.01,ar,0.0,0.0,0.0,2000,0,0.0,19
250,0.01,ar,0.3,0.0,0.0,2000,0,0.0,20
250,0.01,ar,0.5,0.0,0.0,2000,0,0.0,21
250,0.01,ma,0.5,0.001,0.0007067531393633,2000,2,0.0,22
250,0.01,garch,0.0,0.0,0.0,2000,0,0.0,23
250,0.05,iid,0.0,0.008,0.0019919839356781,2000,16,0.012,24
250,0.05,ar,0.0,0.0095,0.0021690723823791,2000,19,0.004,25
250,0.05,ar,0.3,0.0155,0.0027622228367747,2000,31,0.016,26
250,0.05,ar,0.5,0.0285,0.0037207358143249,2000,57,0.034,27
250,0.05,ma,0.5,0.008,0.0019919839356781,2000,16,0.016,28
250,0.05,garch,0.0,0.002,0.0009989994994993,2000,4,0.0,29
250,0.1,iid,0.0,0.0305,0.0038451105315712,2000,61,0.024,30
250,0.1,ar,0.0,0.023,0.0033519397369284,2000,46,0.016,31
250,0.1,ar,0.3,0.0585,0.0052477495176503,2000,117,0.042,32
250,0.1,ar,0.5,0.105,0.0068547428835806,2000,210,0.104,33
250,0.1,ma,0.5,0.0385,0.0043021942076108,2000,77,0.048,34
250,0.1,garch,0.0,0.0165,0.0028484864401994,2000,33,0.026,35
500,0.01,iid,0.0,0.001,0.0007067531393633,2000,2,0.0,36
500,0.01,ar,0.0,0.001,0.0007067531393633,2000,2,0.002,37
500,0.01,ar,0.3,0.002,0.0009989994994993,2000,4,0.004,38
500,0.01,ar,0.5,0.007,0.0018642692938521,2000,14,0.002,39
500,0.01,ma,0.5,0.0025,0.0011166355717063,2000,5,0.004,40
500,0.01,garch,0.0,0.0005,0.000499874984371,2000,1,0.0,41
500,0.05,iid,0.0,0.021,0.0032061659345704,2000,42,0.022,42
500,0.05,ar,0.0,0.0165,0.0028484864401994,2000,33,0.024,43
500,0.05,ar,0.3,0.0305,0.0038451105315712,2000,61,0.034,44
500,0.05,ar,0.5,0.068,0.0056292095359828,2000,136,0.04,45
500,0.05,ma,0.5,0.0265,0.0035915003828483,2000,53,0.022,46
500,0.05,garch,0.0,0.015,0.0027179955849853,2000,30,0.02,47
500,0.1,iid,0.0,0.0585,0.0052477495176503,2000,117,0.064,48
500,0.1,ar,0.0,0.0625,0.0054126587736527,2000,125,0.068,49
500,0.1,ar,0.3,0.087,0.0063020234845643,2000,174,0.084,50
500,0.1,ar,0.5,0.1465,0.0079068878201224,2000,293,0.134,51
500,0.1,ma,0.5,0.082,0.0061349816625642,2000,164,0.074,52
500,0.1,garch,0.0,0.046,0.0046842288586276,2000,92,0.044,53
1000,0.01,iid,0.0,0.0035,0.001320558593929,2000,7,0.004,54
1000,0.01,ar,0.0,0.0055,0.0016537457482938,2000,11,0.008,55
1000,0.01,ar,0.3,0.0035,0.001320558593929,2000,7,0.0,56
1000,0.01,ar,0.5,0.013,0.0025328837320335,2000,26,0.014,57
1000,0.01,ma,0.5,0.007,0.0018642692938521,2000,14,0.01,58
1000,0.01,garch,0.0,0.001,0.0007067531393633,2000,2,0.0,59
1000,0.05,iid,0.0,0.0295,0.00378350036342,2000,59,0.034,60
1000,0.05,ar,0.0,0.021,0.0032061659345704,2000,42,0.016,61
1000,0.05,ar,0.3,0.041,0.0044339034721112,2000,82,0.042,62
1000,0.05,ar,0.5,0.0695,0.0056863762626122,2000,139,0.076,63
1000,0.05,ma,0.5,0.0365,0.0041933131292571,2000,73,0.034,64
1000,0.05,garch,0.0,0.0285,0.0037207358143249,2000,57,0.038,65
1000,0.1,iid,0.0,0.0745,0.0058715308906621,2000,149,0.072,66
1000,0.1,ar,0.0,0.072,0.0057799653978203,2000,144,0.068,67
1000,0.1,ar,0.3,0.1105,0.0070103405766053,2000,221,0.108,68
1000,0.1,ar,0.5,0.15,0.0079843597113356,2000,300,0.168,69
1000,0.1,ma,0.5,0.09,0.0063992187023104,2000,180,0.098,70
1000,0.1,garch,0.0,0.056,0.005141206084179,2000,112,0.072,71
2000,0.01,iid,0.0,0.006,0.0017268468374467,2000,12,0.006,72
2000,0.01,ar,0.0,0.006,0.0017268468374467,2000,12,0.006,73
2000,0.01,ar,0.3,0.009,0.0021117528264453,2000,18,0.004,74
2000,0.01,ar,0.5,0.014,0.002627165773224,2000,28,0.016,75
2000,0.01,ma,0.5,0.006,0.0017268468374467,2000,12,0.008,76
2000,0.01,garch,0.0,0.0035,0.001320558593929,2000,7,0.002,77
2000,0.05,iid,0.0,0.0425,0.0045107510461119,2000,85,0.05,78
2000,0.05,ar,0.0,0.034,0.0040524066923249,2000,68,0.03,79
2000,0.05,ar,0.3,0.05,0.0048733971724044,2000,100,0.052,80
2000,0.05,ar,0.5,0.081,0.0061007786388296,2000,162,0.078,81
2000,0.05,ma,0.5,0.0455,0.0046599222096511,2000,91,0.058,82
2000,0.05,garch,0.0,0.034,0.0040524066923249,2000,68,0.046,83
2000,0.1,iid,0.0,0.09,0.0063992187023104,2000,180,0.078,84
2000,0.1,ar,0.0,0.0895,0.006383171233799,2000,179,0.082,85
2000,0.1,ar,0.3,0.107,0.0069119823495145,2000,214,0.112,86
2000,0.1,ar,0.5,0.132,0.0075688836693398,2000,264,0.12,87
2000,0.1,ma,0.5,0.0925,0.0064785704441643,2000,185,0.102,88
2000,0.1,garch,0.0,0.0865,0.0062856085624225,2000,173,0.08,89
5000,0.01,iid,0.0,0.005,0.0015771810295587,2000,10,0.006,90
5000,0.01,ar,0.0,0.0055,0.0016537457482938,2000,11,0.01,91
5000,0.01,ar,0.3,0.0085,0.0020527725154044,2000,17,0.01,92
5000,0.01,ar,0.5,0.012,0.0024347484469653,2000,24,0.012,93
5000,0.01,ma,0.5,0.007,0.0018642692938521,2000,14,0.01,94
5000,0.01,garch,0.0,0.0095,0.0021690723823791,2000,19,0.006,95
5000,0.05,iid,0.0,0.044,0.004586065852122,2000,88,0.034,96
5000,0.05,ar,0.0,0.0455,0.0046599222096511,2000,91,0.044,97
5000,0.05,ar,0.3,0.067,0.0055906618570612,2000,134,0.084,98
5000,0.05,ar,0.5,0.073,0.0058168290330729,2000,146,0.064,99
5000,0.05,ma,0.5,0.0525,0.0049871710417831,2000,105,0.066,100
5000,0.05,garch,0.0,0.046,0.0046842288586276,2000,92,0.05,101
5000,0.1,iid,0.0,0.0925,0.0064785704441643,2000,185,0.096,102
5000,0.1,ar,0.0,0.0865,0.0062856085624225,2000,173,0.074,103
5000,0.1,ar,0.3,0.111,0.007024208140424,2000,222,0.116,104
5000,0.1,ar,0.5,0.1375,0.0077004464156307,2000,275,0.132,105
5000,0.1,ma,0.5,0.119,0.0072401312142805,2000,238,0.116,106
5000,0.1,garch,0.0,0.0965,0.0066025657891459,2000,193,0.106,107

