T,break_type,snr,lambda,mean_tau_err,median_tau_err,pct_within_005,pct_within_010,metric,mean_omega,std_omega,q025,q975,n_reps
100,price-driven,0.25,0.5,0.005,0.005,1.0,1.0,,,,,,2000
250,shape-driven,0.05,0.25,0.2450256410256409,0.244,0.0,0.1025641025641025,,,,,,2000
250,shape-driven,0.05,0.5,0.0689824561403508,0.06,0.4035087719298245,0.7368421052631579,,,,,,2000
250,shape-driven,0.05,0.75,0.2348108108108108,0.224,0.027027027027027,0.081081081081081,,,,,,2000
250,price-driven,0.25,0.25,0.1982479338842975,0.196,0.0743801652892562,0.1818181818181818,,,,,,2000
250,price-driven,0.25,0.5,0.044212314225053,0.032,0.6539278131634819,0.8938428874734607,,,,,,2000
250,price-driven,0.25,0.75,0.1755737704918033,0.1699999999999999,0.0737704918032786,0.1885245901639344,,,,,,2000
250,joint,0.05,0.25,0.2461739130434782,0.248,0.0,0.0869565217391304,,,,,,2000
250,joint,0.05,0.5,0.0658947368421052,0.06,0.4078947368421052,0.7763157894736842,,,,,,2000
250,joint,0.05,0.75,0.2162,0.204,0.025,0.075,,,,,,2000
500,shape-driven,0.05,0.25,0.2106017699115044,0.212,0.0619469026548672,0.1504424778761062,,,,,,2000
500,shape-driven,0.05,0.5,0.0599913043478261,0.047,0.5173913043478261,0.8,,,,,,2000
500,shape-driven,0.05,0.75,0.2182204724409448,0.218,0.1023622047244094,0.1968503937007874,,,,,,2000
500,price-driven,0.25,0.25,0.1131509715994021,0.082,0.3856502242152466,0.5620328849028401,,,,,,2000
500,price-driven,0.25,0.5,0.0369471571906354,0.022,0.7351170568561873,0.9150501672240804,,,,,,2000
500,price-driven,0.25,0.75,0.11597875569044,0.09,0.3611532625189681,0.543247344461305,,,,,,2000
500,joint,0.05,0.25,0.2054126984126984,0.209,0.0714285714285714,0.1666666666666666,,,,,,2000
500,joint,0.05,0.5,0.0631358885017421,0.048,0.5087108013937283,0.7665505226480837,,,,,,2000
500,joint,0.05,0.75,0.205,0.21,0.1159420289855072,0.2391304347826087,,,,,,2000
1000,shape-driven,0.05,0.25,0.1877689243027888,0.175,0.1394422310756972,0.2669322709163346,,,,,,2000
1000,shape-driven,0.05,0.5,0.059584729981378,0.043,0.5456238361266295,0.776536312849162,,,,,,2000
1000,shape-driven,0.05,0.75,0.180336,0.1675,0.148,0.276,,,,,,2000
1000,price-driven,0.25,0.25,0.0672292298362644,0.032,0.582171012734991,0.7453001819284415,,,,,,2000
1000,price-driven,0.25,0.5,0.0218828874305906,0.012,0.883897021706209,0.9737506309944473,,,,,,2000
1000,price-driven,0.25,0.75,0.0676315472606863,0.034,0.5755568934376881,0.7507525586995786,,,,,,2000
1000,joint,0.05,0.25,0.1741366459627329,0.156,0.170807453416149,0.3074534161490683,,,,,,2000
1000,joint,0.05,0.5,0.0567361111111111,0.041,0.5680555555555555,0.7944444444444444,,,,,,2000
1000,joint,0.05,0.75,0.1654922600619194,0.154,0.1733746130030959,0.3343653250773993,,,,,,2000
2000,shape-driven,0.05,0.25,0.1391777777777777,0.1095,0.3055555555555556,0.4703703703703704,,,,,,2000
2000,shape-driven,0.05,0.5,0.0475202936096718,0.033,0.6286701208981001,0.8730569948186528,,,,,,2000
2000,shape-driven,0.05,0.75,0.139516544117647,0.1155,0.2977941176470588,0.4540441176470588,,,,,,2000
2000,price-driven,0.25,0.25,0.0323821321321321,0.013,0.7882882882882883,0.9214214214214216,,,,,,2000
2000,price-driven,0.25,0.5,0.0116525,0.006,0.9625,0.995,,,,,,2000
2000,price-driven,0.25,0.75,0.0327251125562781,0.0115,0.7828914457228614,0.9109554777388694,,,,,,2000
2000,joint,0.05,0.25,0.1236782178217821,0.0925,0.3394625176803394,0.5261669024045261,,,,,,2000
2000,joint,0.05,0.5,0.0439606213872832,0.0285,0.6690751445086706,0.8793352601156069,,,,,,2000
2000,joint,0.05,0.75,0.1236251830161054,0.094,0.3469985358711566,0.5241581259150805,,,,,,2000
500,shape-driven,0.1,,,,,,omega_mu,0.7225637138949244,0.1587079107392962,0.4076590861681859,0.9830440095012076,2000
500,price-driven,0.5,,,,,,omega_mu,0.1070048435041538,0.0293463799162708,0.0577279570606053,0.168277271418426,2000
500,joint,0.1,,,,,,omega_mu,0.5586527507150572,0.1702218941831039,0.2917816279635243,0.950616950806046,2000
1000,shape-driven,0.1,,,,,,omega_mu,0.769132840751454,0.1377407106458945,0.4854861026605051,0.982424231212577,2000
1000,price-driven,0.5,,,,,,omega_mu,0.0763885845268962,0.0204577652321316,0.0418809279974453,0.1230362902576661,2000
1000,joint,0.1,,,,,,omega_mu,0.5350961585299349,0.1335274762153949,0.3211431151802833,0.8588877728850755,2000
2000,shape-driven,0.1,,,,,,omega_mu,0.8184986287560172,0.1158245267187581,0.57290469741135,0.9914467801421516,2000
2000,price-driven,0.5,,,,,,omega_mu,0.0553692857322893,0.0144066892554472,0.0305938001679618,0.0881187227899223,2000
2000,joint,0.1,,,,,,omega_mu,0.5186424051770887,0.0942386569537663,0.3611378296887102,0.7307570311593934,2000

